trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,5,-29.86061406994528,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,7,0.9645443608669702,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",25,13,11.67521280434381,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,12,13.319886062060064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,7,0.4456493236157375,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,9,-20.279886034132794,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,0,-17.137718704630206,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,10,18.959168978220596,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",35,9,-31.41791076257968,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,-13.318591898477937,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,0,20.41902641313924,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,11,-27.352134265133976,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",35,16,-21.244249594102932,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,3,-18.37161397846789,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,0,13.605032647785775,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,0,-8.684940525678366,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-49.61785525237128,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,9,14.746030556138056,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,11,18.85253415608095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",25,13,7.1864081689137125,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",35,8,46.30770450511419,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",30,24,10.008919649967648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,10,-15.03944989214474,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,8,-18.093985050693227,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",35,13,16.259570774458624,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,6,5.279411295045112,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,6,-0.22620230343005532,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,-8.118164991026504,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,8,-19.80363033849698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,0,-37.83660298995762,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,15,8.697875100933363,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,2,40.58779875280178,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,14,13.133889674174949,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,10,-12.716418409289997,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,2,11.185743690318096,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,0,28.345088947027303,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,0,-10.717386588902997,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-10.001438296584222,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,9,23.137866462463954,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",25,11,14.139733126578193,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,24.85245587679798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,0,33.31310881627774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,0,6.2437952670537955,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,10,8.154312145888557,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,6,-5.04566246503895,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,2,28.623227647249355,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,5,-32.226256489435514,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,8,13.918278267559398,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,4,-14.505388355013967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,13,14.308961186040317,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,9,8.551054750439597,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,8,18.604762575573957,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,12,15.69809123551587,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,18,14.916266742848414,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,15,9.395571998565798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",30,11,33.64286654219602,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,8,0.45091157824256456,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,15,-13.615721106942354,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,2,-27.142297260605,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,17,5.680243693084608,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,2,18.16338629019695,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",30,19,22.067145601677506,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,14,-6.492111649342895,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,0,-1.2335453902157156,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,6,-18.725009016089107,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",35,17,22.260623596589273,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",30,9,15.110916887613675,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,11,22.914178044571422,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",20,1,24.01121903075565,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",30,13,27.302589125859747,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
